image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4,6.8,$,10.5,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000001.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4,15.14,$,18.0,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000002.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141035796.jpg,Ways of Seeing,John Berger,Paperback,4,8.36,$,10.3,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000003.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099539551.jpg,The Hare with Amber Eyes,Edmund de Waal,Paperback,4,12.75,$,13.9,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000004.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4,9.43,$,12.4,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000005.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4,27.12,$,,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000006.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4,7.26,$,,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000007.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408890769.jpg,Harry Potter - A History of Magic,British Library,Hardback,4,30.92,$,37.6,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000008.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4,10.66,$,13.9,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000009.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509829477.jpg,The Artist's Way,Julia Cameron,Paperback,4,12.61,$,21.1,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000010.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5005/9780500513606.jpg,Chanel,Daniele Bott,Hardback,4,31.18,$,37.1,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000011.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8478/9781847807717.jpg,Coco Chanel,Isabel Sanchez Vegara,Hardback,4,10.01,$,12.9,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000012.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4,6.71,$,8.0,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000013.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099457046.jpg,Moab Is My Washpot,Stephen Fry,Paperback,4,5.99,$,12.9,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000014.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452106557.jpg,Darth Vader and Son,Jeffrey Brown,Hardback,4,9.61,$,12.9,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000015.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2411/9780241184837.jpg,Hooked,Nir Eyal,Hardback,4,13.76,$,16.0,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000016.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472200341.jpg,The Ocean at the End of the Lane,Neil Gaiman,Paperback,4,7.7,$,11.4,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000017.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969447.jpg,"Music Theory in Practice, Grade 3",Eric Taylor,Sheet music,4,7.57,$,7.8,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000018.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770785.jpg,Piano Adventures,Nancy Faber,Paperback,4,7.43,$,9.0,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000019.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7423/9781742372389.jpg,The Happiest Refugee,Anh Do,Paperback,4,20.87,$,,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000020.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761178972.jpg,Show Your Work!,Austin Kleon,Paperback,4,8.94,$,11.95,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000021.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753826614.jpg,Life,Keith Richards,Paperback,4,11.18,$,13.9,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000022.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786331502.jpg,Daisy Jones and The Six,TAYLOR JENKINS REID,Hardback,4,14.67,$,16.0,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000023.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4650/9780465050659.jpg,The Design of Everyday Things,Donald A. Norman,Paperback,4,14.22,$,,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000024.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7716/9781771642484.jpg,The Hidden Life of Trees,Peter Wohlleben,Hardback,4,16.53,$,18.99,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000025.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349113913.jpg,Me Talk Pretty One Day,David Sedaris,Paperback,4,7.38,$,11.4,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000026.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0628/9780062801975.jpg,Homebody,Joanna Gaines,Hardback,4,26.47,$,40.1,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000027.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4,13.7385755,$,17.81742127,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000028.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4,13.76416158,$,17.91575158,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000029.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141035796.jpg,Ways of Seeing,John Berger,Paperback,4,13.78974766,$,18.01408189,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000030.jpg
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099539551.jpg,The Hare with Amber Eyes,Edmund de Waal,Paperback,4,13.81533374,$,18.1124122,9780000000000.0,Art-Photography,/Users/kamilahmedaslam/Desktop/revised dataset/4.00/0000031.jpg
